Test Cycle	Inclusive Existential	Extrap Existential	Explicit Acc	Extrap Acc	Inclusive Uniform Acc	Inclusive Proportional Acc
1	100	99.5	91.9	99.5	100	100
2	95.8	100	59.8	90.5	61.4	64.6
3	98.996	98.5	69	98.5	81.325	80.8
4	100	99.9	98.5	99.9	100	100
5	89.3	96.7	45.8	83	36.1	35.8
6	100	100	100	100	100	100
7	100	96.1	96.1	96.1	100	100
8	100	98.4	91.3	98.4	100	100
9	100	100	91.9	100	100	100
10	100	99.2	61.6	68.5	65.5	67.1
11	74.174	50.8	27.5	39.4	53.554	53.8
12	99.7	100	88.8	100	67.568	65.8
13	100	61.9	38.5	61.9	100	100
14	100	96.4	38.3	96.4	100	100
15	100	95.8	95.8	95.8	100	100
16	94.7	100	48.1	48.1	36.5	34.6
17	100	100	57.6	100	100	100
18	100	100	93.5	100	100	100
19	100	98.9	93.3	98.9	100	100
20	98.785	97.6	85.6	96.4	79.858	78.5
