Test Cycle	Inclusive Existential	Extrap Existential	Explicit Acc	Extrap Acc	Inclusive Uniform Acc	Inclusive Proportional Acc	Proposed Rules	Env Rules	Env Satisfied	Proposed Matched
1	100	100	100	100	100	100	2	2	2 / 2	2 / 2
2	93.1	62.2	48.8	62.2	93.1	90.5	8	6	3 / 6	4 / 8
3	100	100	93.5	100	100	100	7	2	1 / 2	4 / 7
4	100	0.2	0	0.2	100	100	4	4	0 / 4	0 / 4
5	99.9	85.4	61.4	85	98.1	98.6	8	6	6 / 6	8 / 8
6	100	0.4	0	0.4	100	100	4	2	0 / 2	0 / 4
7	99.3	56.1	55.7	56.1	99.3	99.1	10	8	2 / 8	3 / 10
8	100	100	92	100	100	100	2	2	1 / 2	1 / 2
9	96.053	54.9	53.2	54.9	96.053	93.5	13	8	2 / 8	2 / 13
10	66.3	21.5	20.7	21.5	66.3	69.2	1	4	0 / 4	0 / 1
11	100	71.8	69.3	71.8	100	100	6	4	2 / 4	2 / 6
12	100	100	98.6	100	100	100	5	2	2 / 2	3 / 5
13	100	38.5	37.2	38.5	100	100	4	6	3 / 6	3 / 4
14	100	89.4	56	89.4	100	100	6	6	1 / 6	1 / 6
15	100	100	98.7	100	100	100	2	2	1 / 2	1 / 2
16	100	100	97.7	98	98.394	96.6	6	2	1 / 2	1 / 6
17	90.991	89.1	55.9	89.1	90.991	87.6	9	6	6 / 6	6 / 9
18	100	98	94.8	98	100	100	2	2	1 / 2	1 / 2
19	97.2	88.1	79.2	88.1	97.2	95.5	8	4	3 / 4	4 / 8
20	99.9	92	53.5	91.8	99	98.7	8	6	6 / 6	8 / 8
