Test Cycle	A-Satisfied	A-Matched	B-Satisfied	B-Matched	C-Satisfied	C-Matched
1	2 / 2	4 / 4	5/6	11/15	8 / 16	10 / 21
2	4 / 4	4 / 4	6/8	6/16	4 / 9	4 / 10
3	3 / 4	4 / 8	3/4	5/6	5 / 8	5 / 9
4	3 / 4	11 / 15	3/4	6/7	3 / 3	3 / 4
5	2 / 3	4 / 5	2/4	2/8	8 / 12	13 / 16
6	3 / 4	3 / 7	2/6	2/11	7 / 12	7 / 13
7	2 / 2	2 / 2	1/2	2/4	2 / 2	4 / 4
8	1 / 2	1 / 2	3/8	3/5	2 / 2	3 / 15
9	1 / 3	18 / 22	3/4	3/4	0 / 2	0 / 8
10	1 / 2	11 / 17	1/2	1/2	1 / 2	2 / 4
11	3 / 3	5 / 5	2/9	2/7	4 / 4	3 / 7
12	3 / 4	4 / 8	5/6	6/7	4 / 8	4 / 12
13	2 / 2	2 / 2	2/4	2/8	2 / 2	2 / 6
14	3 / 3	3 / 4	4/4	7/7	2 / 2	2 / 2
15	2 / 4	4 / 6	5/8	6/17	9 / 20	13 / 24
16	2 / 4	1 / 4	2/5	7/9	2 / 4	2 / 7
17	2 / 4	1 / 4	2/2	2/2	10 / 18	9 / 12
18	0 / 2	0 / 1	2/2	2/3	3 / 4	4 / 5
19	3 / 4	3 / 5	5/6	11/13	8 / 12	11 / 15
20	2 / 4	2 / 4	6/8	6/8	0 / 2	0 / 8
